<<<<<<< HEAD
2 , 4 , 1 , 414 , 415440
3 , 12 , 7 , 408 , 415488
4 , 1 , 38 , 377 , 415537
5 , 12 , 57 , 358 , 415615
6 , 1 , 19 , 396 , 415610
7 , 3 , 47 , 368 , 415674
8 , 10 , 18 , 397 , 415699
0 , 8 , 9 , 406 , 415767
1 , 4 , 12 , 403 , 415820
=======
0 , 36 , 10 , 36 , 46153
0 , 14 , 27 , 14 , 41187
0 , 10 , 15 , 10 , 25189
0 , 5 , 30 , 5 , 35195
0 , 3 , 6 , 3 , 9187
0 , 35 , 39 , 35 , 74202
0 , 27 , 15 , 27 , 42200
0 , 1 , 21 , 1 , 22190
0 , 0 , 13 , 0 , 13170
>>>>>>> 6ed279f16fd55cc6290f8fbaedcf11ec1c92e8f8
